sales_id,date,product_id,units_sold,selling_price,sales_amount
1,2025-01-01,P001,99,26,2574
2,2025-01-01,P002,17,29,493
3,2025-01-01,P003,71,26,1846
4,2025-01-01,P004,49,28,1372
5,2025-01-01,P005,7,135,945
6,2025-01-01,P006,22,96,2112
7,2025-01-01,P007,16,44,704
8,2025-01-01,P008,25,10,250
9,2025-01-01,P009,6,136,816
10,2025-01-01,P010,6,20,120
11,2025-01-02,P001,83,26,2158
12,2025-01-02,P002,21,29,609
13,2025-01-02,P003,61,26,1586
14,2025-01-02,P004,44,28,1232
15,2025-01-02,P005,5,135,675
16,2025-01-02,P006,16,96,1536
17,2025-01-02,P007,11,44,484
18,2025-01-02,P008,32,10,320
19,2025-01-02,P009,7,136,952
20,2025-01-02,P010,6,20,120
21,2025-01-03,P001,99,26,2574
22,2025-01-03,P002,22,29,638
23,2025-01-03,P003,67,26,1742
24,2025-01-03,P004,43,28,1204
25,2025-01-03,P005,5,135,675
26,2025-01-03,P006,14,96,1344
27,2025-01-03,P007,11,44,484
28,2025-01-03,P008,25,10,250
29,2025-01-03,P009,7,136,952
30,2025-01-03,P010,9,20,180
31,2025-01-04,P001,104,26,2704
32,2025-01-04,P002,22,29,638
33,2025-01-04,P003,75,26,1950
34,2025-01-04,P004,66,28,1848
35,2025-01-04,P005,4,135,540
36,2025-01-04,P006,19,96,1824
37,2025-01-04,P007,15,44,660
38,2025-01-04,P008,34,10,340
39,2025-01-04,P009,8,136,1088
40,2025-01-04,P010,10,20,200
41,2025-01-05,P001,101,26,2626
42,2025-01-05,P002,17,29,493
43,2025-01-05,P003,68,26,1768
44,2025-01-05,P004,49,28,1372
45,2025-01-05,P005,4,135,540
46,2025-01-05,P006,16,96,1536
47,2025-01-05,P007,12,44,528
48,2025-01-05,P008,29,10,290
49,2025-01-05,P009,7,136,952
50,2025-01-05,P010,9,20,180
51,2025-01-06,P001,87,26,2262
52,2025-01-06,P002,18,29,522
53,2025-01-06,P003,66,26,1716
54,2025-01-06,P004,60,28,1680
55,2025-01-06,P005,5,135,675
56,2025-01-06,P006,16,96,1536
57,2025-01-06,P007,11,44,484
58,2025-01-06,P008,34,10,340
59,2025-01-06,P009,6,136,816
60,2025-01-06,P010,8,20,160
61,2025-01-07,P001,104,26,2704
62,2025-01-07,P002,22,29,638
63,2025-01-07,P003,72,26,1872
64,2025-01-07,P004,55,28,1540
65,2025-01-07,P005,5,135,675
66,2025-01-07,P006,17,96,1632
67,2025-01-07,P007,11,44,484
68,2025-01-07,P008,24,10,240
69,2025-01-07,P009,6,136,816
70,2025-01-07,P010,7,20,140
71,2025-01-08,P001,83,26,2158
72,2025-01-08,P002,24,29,696
73,2025-01-08,P003,78,26,2028
74,2025-01-08,P004,46,28,1288
75,2025-01-08,P005,5,135,675
76,2025-01-08,P006,15,96,1440
77,2025-01-08,P007,14,44,616
78,2025-01-08,P008,30,10,300
79,2025-01-08,P009,6,136,816
80,2025-01-08,P010,7,20,140
81,2025-01-09,P001,92,26,2392
82,2025-01-09,P002,19,29,551
83,2025-01-09,P003,72,26,1872
84,2025-01-09,P004,59,28,1652
85,2025-01-09,P005,4,135,540
86,2025-01-09,P006,14,96,1344
87,2025-01-09,P007,15,44,660
88,2025-01-09,P008,31,10,310
89,2025-01-09,P009,5,136,680
90,2025-01-09,P010,6,20,120
91,2025-01-10,P001,80,26,2080
92,2025-01-10,P002,21,29,609
93,2025-01-10,P003,77,26,2002
94,2025-01-10,P004,49,28,1372
95,2025-01-10,P005,4,135,540
96,2025-01-10,P006,15,96,1440
97,2025-01-10,P007,15,44,660
98,2025-01-10,P008,31,10,310
99,2025-01-10,P009,8,136,1088
100,2025-01-10,P010,10,20,200
101,2025-01-11,P001,81,26,2106
102,2025-01-11,P002,22,29,638
103,2025-01-11,P003,78,26,2028
104,2025-01-11,P004,55,28,1540
105,2025-01-11,P005,4,135,540
106,2025-01-11,P006,20,96,1920
107,2025-01-11,P007,12,44,528
108,2025-01-11,P008,31,10,310
109,2025-01-11,P009,7,136,952
110,2025-01-11,P010,12,20,240
111,2025-01-12,P001,111,26,2886
112,2025-01-12,P002,19,29,551
113,2025-01-12,P003,80,26,2080
114,2025-01-12,P004,52,28,1456
115,2025-01-12,P005,7,135,945
116,2025-01-12,P006,29,96,2784
117,2025-01-12,P007,14,44,616
118,2025-01-12,P008,34,10,340
119,2025-01-12,P009,7,136,952
120,2025-01-12,P010,8,20,160
121,2025-01-13,P001,102,26,2652
122,2025-01-13,P002,21,29,609
123,2025-01-13,P003,82,26,2132
124,2025-01-13,P004,56,28,1568
125,2025-01-13,P005,5,135,675
126,2025-01-13,P006,19,96,1824
127,2025-01-13,P007,11,44,484
128,2025-01-13,P008,36,10,360
129,2025-01-13,P009,7,136,952
130,2025-01-13,P010,10,20,200
131,2025-01-14,P001,90,26,2340
132,2025-01-14,P002,17,29,493
133,2025-01-14,P003,85,26,2210
134,2025-01-14,P004,66,28,1848
135,2025-01-14,P005,5,135,675
136,2025-01-14,P006,21,96,2016
137,2025-01-14,P007,12,44,528
138,2025-01-14,P008,34,10,340
139,2025-01-14,P009,7,136,952
140,2025-01-14,P010,7,20,140
141,2025-01-15,P001,90,26,2340
142,2025-01-15,P002,21,29,609
143,2025-01-15,P003,66,26,1716
144,2025-01-15,P004,59,28,1652
145,2025-01-15,P005,4,135,540
146,2025-01-15,P006,14,96,1344
147,2025-01-15,P007,13,44,572
148,2025-01-15,P008,34,10,340
149,2025-01-15,P009,6,136,816
150,2025-01-15,P010,8,20,160
151,2025-01-16,P001,104,26,2704
152,2025-01-16,P002,22,29,638
153,2025-01-16,P003,69,26,1794
154,2025-01-16,P004,51,28,1428
155,2025-01-16,P005,4,135,540
156,2025-01-16,P006,14,96,1344
157,2025-01-16,P007,12,44,528
158,2025-01-16,P008,32,10,320
159,2025-01-16,P009,6,136,816
160,2025-01-16,P010,7,20,140
161,2025-01-17,P001,79,26,2054
162,2025-01-17,P002,21,29,609
163,2025-01-17,P003,65,26,1690
164,2025-01-17,P004,59,28,1652
165,2025-01-17,P005,5,135,675
166,2025-01-17,P006,13,96,1248
167,2025-01-17,P007,11,44,484
168,2025-01-17,P008,33,10,330
169,2025-01-17,P009,6,136,816
170,2025-01-17,P010,7,20,140
171,2025-01-18,P001,107,26,2782
172,2025-01-18,P002,21,29,609
173,2025-01-18,P003,73,26,1898
174,2025-01-18,P004,61,28,1708
175,2025-01-18,P005,5,135,675
176,2025-01-18,P006,16,96,1536
177,2025-01-18,P007,12,44,528
178,2025-01-18,P008,31,10,310
179,2025-01-18,P009,7,136,952
180,2025-01-18,P010,10,20,200
181,2025-01-19,P001,101,26,2626
182,2025-01-19,P002,22,29,638
183,2025-01-19,P003,85,26,2210
184,2025-01-19,P004,45,28,1260
185,2025-01-19,P005,4,135,540
186,2025-01-19,P006,17,96,1632
187,2025-01-19,P007,15,44,660
188,2025-01-19,P008,29,10,290
189,2025-01-19,P009,6,136,816
190,2025-01-19,P010,9,20,180
191,2025-01-20,P001,88,26,2288
192,2025-01-20,P002,19,29,551
193,2025-01-20,P003,65,26,1690
194,2025-01-20,P004,60,28,1680
195,2025-01-20,P005,4,135,540
196,2025-01-20,P006,18,96,1728
197,2025-01-20,P007,13,44,572
198,2025-01-20,P008,25,10,250
199,2025-01-20,P009,8,136,1088
200,2025-01-20,P010,10,20,200
201,2025-01-21,P001,103,26,2678
202,2025-01-21,P002,24,29,696
203,2025-01-21,P003,78,26,2028
204,2025-01-21,P004,43,28,1204
205,2025-01-21,P005,4,135,540
206,2025-01-21,P006,14,96,1344
207,2025-01-21,P007,12,44,528
208,2025-01-21,P008,25,10,250
209,2025-01-21,P009,6,136,816
210,2025-01-21,P010,11,20,220
211,2025-01-22,P001,84,26,2184
212,2025-01-22,P002,23,29,667
213,2025-01-22,P003,70,26,1820
214,2025-01-22,P004,49,28,1372
215,2025-01-22,P005,5,135,675
216,2025-01-22,P006,19,96,1824
217,2025-01-22,P007,13,44,572
218,2025-01-22,P008,33,10,330
219,2025-01-22,P009,6,136,816
220,2025-01-22,P010,8,20,160
221,2025-01-23,P001,103,26,2678
222,2025-01-23,P002,21,29,609
223,2025-01-23,P003,71,26,1846
224,2025-01-23,P004,56,28,1568
225,2025-01-23,P005,4,135,540
226,2025-01-23,P006,16,96,1536
227,2025-01-23,P007,13,44,572
228,2025-01-23,P008,35,10,350
229,2025-01-23,P009,6,136,816
230,2025-01-23,P010,11,20,220
231,2025-01-24,P001,79,26,2054
232,2025-01-24,P002,18,29,522
233,2025-01-24,P003,72,26,1872
234,2025-01-24,P004,54,28,1512
235,2025-01-24,P005,4,135,540
236,2025-01-24,P006,13,96,1248
237,2025-01-24,P007,14,44,616
238,2025-01-24,P008,27,10,270
239,2025-01-24,P009,7,136,952
240,2025-01-24,P010,9,20,180
241,2025-01-25,P001,93,26,2418
242,2025-01-25,P002,21,29,609
243,2025-01-25,P003,75,26,1950
244,2025-01-25,P004,65,28,1820
245,2025-01-25,P005,4,135,540
246,2025-01-25,P006,20,96,1920
247,2025-01-25,P007,12,44,528
248,2025-01-25,P008,31,10,310
249,2025-01-25,P009,7,136,952
250,2025-01-25,P010,9,20,180
251,2025-01-26,P001,90,26,2340
252,2025-01-26,P002,22,29,638
253,2025-01-26,P003,65,26,1690
254,2025-01-26,P004,54,28,1512
255,2025-01-26,P005,5,135,675
256,2025-01-26,P006,22,96,2112
257,2025-01-26,P007,11,44,484
258,2025-01-26,P008,28,10,280
259,2025-01-26,P009,6,136,816
260,2025-01-26,P010,12,20,240
261,2025-01-27,P001,101,26,2626
262,2025-01-27,P002,23,29,667
263,2025-01-27,P003,68,26,1768
264,2025-01-27,P004,43,28,1204
265,2025-01-27,P005,5,135,675
266,2025-01-27,P006,17,96,1632
267,2025-01-27,P007,13,44,572
268,2025-01-27,P008,37,10,370
269,2025-01-27,P009,7,136,952
270,2025-01-27,P010,6,20,120
271,2025-01-28,P001,99,26,2574
272,2025-01-28,P002,19,29,551
273,2025-01-28,P003,74,26,1924
274,2025-01-28,P004,60,28,1680
275,2025-01-28,P005,4,135,540
276,2025-01-28,P006,13,96,1248
277,2025-01-28,P007,11,44,484
278,2025-01-28,P008,31,10,310
279,2025-01-28,P009,6,136,816
280,2025-01-28,P010,9,20,180
281,2025-01-29,P001,96,26,2496
282,2025-01-29,P002,18,29,522
283,2025-01-29,P003,73,26,1898
284,2025-01-29,P004,45,28,1260
285,2025-01-29,P005,4,135,540
286,2025-01-29,P006,18,96,1728
287,2025-01-29,P007,14,44,616
288,2025-01-29,P008,25,10,250
289,2025-01-29,P009,6,136,816
290,2025-01-29,P010,7,20,140
291,2025-01-30,P001,77,26,2002
292,2025-01-30,P002,22,29,638
293,2025-01-30,P003,73,26,1898
294,2025-01-30,P004,45,28,1260
295,2025-01-30,P005,5,135,675
296,2025-01-30,P006,16,96,1536
297,2025-01-30,P007,12,44,528
298,2025-01-30,P008,24,10,240
299,2025-01-30,P009,5,136,680
300,2025-01-30,P010,10,20,200
301,2025-01-31,P001,101,26,2626
302,2025-01-31,P002,21,29,609
303,2025-01-31,P003,78,26,2028
304,2025-01-31,P004,57,28,1596
305,2025-01-31,P005,4,135,540
306,2025-01-31,P006,13,96,1248
307,2025-01-31,P007,12,44,528
308,2025-01-31,P008,43,10,430
309,2025-01-31,P009,7,136,952
310,2025-01-31,P010,14,20,280
311,2025-02-01,P001,106,26,2756
312,2025-02-01,P002,18,29,522
313,2025-02-01,P003,68,26,1768
314,2025-02-01,P004,50,28,1400
315,2025-02-01,P005,5,135,675
316,2025-02-01,P006,22,96,2112
317,2025-02-01,P007,13,44,572
318,2025-02-01,P008,40,10,400
319,2025-02-01,P009,6,136,816
320,2025-02-01,P010,16,20,320
321,2025-02-02,P001,105,26,2730
322,2025-02-02,P002,24,29,696
323,2025-02-02,P003,81,26,2106
324,2025-02-02,P004,70,28,1960
325,2025-02-02,P005,4,135,540
326,2025-02-02,P006,20,96,1920
327,2025-02-02,P007,13,44,572
328,2025-02-02,P008,45,10,450
329,2025-02-02,P009,8,136,1088
330,2025-02-02,P010,16,20,320
331,2025-02-03,P001,99,26,2574
332,2025-02-03,P002,19,29,551
333,2025-02-03,P003,77,26,2002
334,2025-02-03,P004,46,28,1288
335,2025-02-03,P005,5,135,675
336,2025-02-03,P006,18,96,1728
337,2025-02-03,P007,11,44,484
338,2025-02-03,P008,42,10,420
339,2025-02-03,P009,6,136,816
340,2025-02-03,P010,10,20,200
341,2025-02-04,P001,98,26,2548
342,2025-02-04,P002,19,29,551
343,2025-02-04,P003,60,26,1560
344,2025-02-04,P004,48,28,1344
345,2025-02-04,P005,4,135,540
346,2025-02-04,P006,18,96,1728
347,2025-02-04,P007,15,44,660
348,2025-02-04,P008,33,10,330
349,2025-02-04,P009,7,136,952
350,2025-02-04,P010,11,20,220
351,2025-02-05,P001,103,26,2678
352,2025-02-05,P002,21,29,609
353,2025-02-05,P003,80,26,2080
354,2025-02-05,P004,46,28,1288
355,2025-02-05,P005,5,135,675
356,2025-02-05,P006,13,96,1248
357,2025-02-05,P007,14,44,616
358,2025-02-05,P008,33,10,330
359,2025-02-05,P009,5,136,680
360,2025-02-05,P010,11,20,220
361,2025-02-06,P001,97,26,2522
362,2025-02-06,P002,19,29,551
363,2025-02-06,P003,73,26,1898
364,2025-02-06,P004,51,28,1428
365,2025-02-06,P005,4,135,540
366,2025-02-06,P006,16,96,1536
367,2025-02-06,P007,11,44,484
368,2025-02-06,P008,33,10,330
369,2025-02-06,P009,5,136,680
370,2025-02-06,P010,11,20,220
371,2025-02-07,P001,92,26,2392
372,2025-02-07,P002,22,29,638
373,2025-02-07,P003,76,26,1976
374,2025-02-07,P004,60,28,1680
375,2025-02-07,P005,4,135,540
376,2025-02-07,P006,13,96,1248
377,2025-02-07,P007,13,44,572
378,2025-02-07,P008,34,10,340
379,2025-02-07,P009,6,136,816
380,2025-02-07,P010,14,20,280
381,2025-02-08,P001,101,26,2626
382,2025-02-08,P002,19,29,551
383,2025-02-08,P003,70,26,1820
384,2025-02-08,P004,52,28,1456
385,2025-02-08,P005,4,135,540
386,2025-02-08,P006,17,96,1632
387,2025-02-08,P007,12,44,528
388,2025-02-08,P008,31,10,310
389,2025-02-08,P009,8,136,1088
390,2025-02-08,P010,11,20,220
391,2025-02-09,P001,106,26,2756
392,2025-02-09,P002,21,29,609
393,2025-02-09,P003,70,26,1820
394,2025-02-09,P004,56,28,1568
395,2025-02-09,P005,4,135,540
396,2025-02-09,P006,17,96,1632
397,2025-02-09,P007,13,44,572
398,2025-02-09,P008,33,10,330
399,2025-02-09,P009,7,136,952
400,2025-02-09,P010,10,20,200
401,2025-02-10,P001,89,26,2314
402,2025-02-10,P002,18,29,522
403,2025-02-10,P003,70,26,1820
404,2025-02-10,P004,59,28,1652
405,2025-02-10,P005,5,135,675
406,2025-02-10,P006,13,96,1248
407,2025-02-10,P007,11,44,484
408,2025-02-10,P008,31,10,310
409,2025-02-10,P009,7,136,952
410,2025-02-10,P010,8,20,160
411,2025-02-11,P001,99,26,2574
412,2025-02-11,P002,22,29,638
413,2025-02-11,P003,74,26,1924
414,2025-02-11,P004,49,28,1372
415,2025-02-11,P005,4,135,540
416,2025-02-11,P006,12,96,1152
417,2025-02-11,P007,11,44,484
418,2025-02-11,P008,36,10,360
419,2025-02-11,P009,7,136,952
420,2025-02-11,P010,9,20,180
421,2025-02-12,P001,88,26,2288
422,2025-02-12,P002,21,29,609
423,2025-02-12,P003,64,26,1664
424,2025-02-12,P004,60,28,1680
425,2025-02-12,P005,4,135,540
426,2025-02-12,P006,14,96,1344
427,2025-02-12,P007,13,44,572
428,2025-02-12,P008,29,10,290
429,2025-02-12,P009,7,136,952
430,2025-02-12,P010,13,20,260
431,2025-02-13,P001,80,26,2080
432,2025-02-13,P002,20,29,580
433,2025-02-13,P003,64,26,1664
434,2025-02-13,P004,67,28,1876
435,2025-02-13,P005,5,135,675
436,2025-02-13,P006,13,96,1248
437,2025-02-13,P007,11,44,484
438,2025-02-13,P008,42,10,420
439,2025-02-13,P009,6,136,816
440,2025-02-13,P010,13,20,260
441,2025-02-14,P001,95,26,2470
442,2025-02-14,P002,24,29,696
443,2025-02-14,P003,73,26,1898
444,2025-02-14,P004,66,28,1848
445,2025-02-14,P005,5,135,675
446,2025-02-14,P006,16,96,1536
447,2025-02-14,P007,13,44,572
448,2025-02-14,P008,37,10,370
449,2025-02-14,P009,7,136,952
450,2025-02-14,P010,12,20,240
451,2025-02-15,P001,106,26,2756
452,2025-02-15,P002,22,29,638
453,2025-02-15,P003,73,26,1898
454,2025-02-15,P004,54,28,1512
455,2025-02-15,P005,4,135,540
456,2025-02-15,P006,20,96,1920
457,2025-02-15,P007,15,44,660
458,2025-02-15,P008,39,10,390
459,2025-02-15,P009,7,136,952
460,2025-02-15,P010,11,20,220
461,2025-02-16,P001,83,26,2158
462,2025-02-16,P002,19,29,551
463,2025-02-16,P003,69,26,1794
464,2025-02-16,P004,55,28,1540
465,2025-02-16,P005,5,135,675
466,2025-02-16,P006,16,96,1536
467,2025-02-16,P007,12,44,528
468,2025-02-16,P008,42,10,420
469,2025-02-16,P009,7,136,952
470,2025-02-16,P010,10,20,200
471,2025-02-17,P001,88,26,2288
472,2025-02-17,P002,21,29,609
473,2025-02-17,P003,69,26,1794
474,2025-02-17,P004,48,28,1344
475,2025-02-17,P005,4,135,540
476,2025-02-17,P006,18,96,1728
477,2025-02-17,P007,13,44,572
478,2025-02-17,P008,40,10,400
479,2025-02-17,P009,7,136,952
480,2025-02-17,P010,13,20,260
481,2025-02-18,P001,87,26,2262
482,2025-02-18,P002,17,29,493
483,2025-02-18,P003,67,26,1742
484,2025-02-18,P004,62,28,1736
485,2025-02-18,P005,5,135,675
486,2025-02-18,P006,18,96,1728
487,2025-02-18,P007,12,44,528
488,2025-02-18,P008,40,10,400
489,2025-02-18,P009,7,136,952
490,2025-02-18,P010,12,20,240
491,2025-02-19,P001,83,26,2158
492,2025-02-19,P002,18,29,522
493,2025-02-19,P003,69,26,1794
494,2025-02-19,P004,44,28,1232
495,2025-02-19,P005,4,135,540
496,2025-02-19,P006,17,96,1632
497,2025-02-19,P007,12,44,528
498,2025-02-19,P008,31,10,310
499,2025-02-19,P009,6,136,816
500,2025-02-19,P010,9,20,180
501,2025-02-20,P001,94,26,2444
502,2025-02-20,P002,17,29,493
503,2025-02-20,P003,68,26,1768
504,2025-02-20,P004,57,28,1596
505,2025-02-20,P005,4,135,540
506,2025-02-20,P006,16,96,1536
507,2025-02-20,P007,11,44,484
508,2025-02-20,P008,36,10,360
509,2025-02-20,P009,5,136,680
510,2025-02-20,P010,11,20,220
511,2025-02-21,P001,83,26,2158
512,2025-02-21,P002,19,29,551
513,2025-02-21,P003,76,26,1976
514,2025-02-21,P004,53,28,1484
515,2025-02-21,P005,5,135,675
516,2025-02-21,P006,18,96,1728
517,2025-02-21,P007,11,44,484
518,2025-02-21,P008,30,10,300
519,2025-02-21,P009,5,136,680
520,2025-02-21,P010,12,20,240
521,2025-02-22,P001,109,26,2834
522,2025-02-22,P002,19,29,551
523,2025-02-22,P003,77,26,2002
524,2025-02-22,P004,67,28,1876
525,2025-02-22,P005,5,135,675
526,2025-02-22,P006,21,96,2016
527,2025-02-22,P007,16,44,704
528,2025-02-22,P008,33,10,330
