forecast_id,forecast_date,target_date,product_id,predicted_units_sold
1,2025-12-31,2026-01-01,P001,94
2,2025-12-31,2026-01-01,P002,21
3,2025-12-31,2026-01-01,P003,80
4,2025-12-31,2026-01-01,P004,54
5,2025-12-31,2026-01-01,P005,6
6,2025-12-31,2026-01-01,P006,22
7,2025-12-31,2026-01-01,P007,14
8,2025-12-31,2026-01-01,P008,32
9,2025-12-31,2026-01-01,P009,7
10,2025-12-31,2026-01-01,P010,9
11,2025-12-31,2026-01-02,P001,87
12,2025-12-31,2026-01-02,P002,21
13,2025-12-31,2026-01-02,P003,71
14,2025-12-31,2026-01-02,P004,50
15,2025-12-31,2026-01-02,P005,5
16,2025-12-31,2026-01-02,P006,16
17,2025-12-31,2026-01-02,P007,13
18,2025-12-31,2026-01-02,P008,32
19,2025-12-31,2026-01-02,P009,7
20,2025-12-31,2026-01-02,P010,9
21,2025-12-31,2026-01-03,P001,94
22,2025-12-31,2026-01-03,P002,21
23,2025-12-31,2026-01-03,P003,72
24,2025-12-31,2026-01-03,P004,54
25,2025-12-31,2026-01-03,P005,5
26,2025-12-31,2026-01-03,P006,19
27,2025-12-31,2026-01-03,P007,13
28,2025-12-31,2026-01-03,P008,34
29,2025-12-31,2026-01-03,P009,7
30,2025-12-31,2026-01-03,P010,10
31,2025-12-31,2026-01-04,P001,99
32,2025-12-31,2026-01-04,P002,21
33,2025-12-31,2026-01-04,P003,73
34,2025-12-31,2026-01-04,P004,56
35,2025-12-31,2026-01-04,P005,5
36,2025-12-31,2026-01-04,P006,19
37,2025-12-31,2026-01-04,P007,13
38,2025-12-31,2026-01-04,P008,31
39,2025-12-31,2026-01-04,P009,7
40,2025-12-31,2026-01-04,P010,9
41,2025-12-31,2026-01-05,P001,91
42,2025-12-31,2026-01-05,P002,21
43,2025-12-31,2026-01-05,P003,70
44,2025-12-31,2026-01-05,P004,50
45,2025-12-31,2026-01-05,P005,5
46,2025-12-31,2026-01-05,P006,16
47,2025-12-31,2026-01-05,P007,13
48,2025-12-31,2026-01-05,P008,28
49,2025-12-31,2026-01-05,P009,7
50,2025-12-31,2026-01-05,P010,9
51,2025-12-31,2026-01-06,P001,90
52,2025-12-31,2026-01-06,P002,22
53,2025-12-31,2026-01-06,P003,71
54,2025-12-31,2026-01-06,P004,50
55,2025-12-31,2026-01-06,P005,5
56,2025-12-31,2026-01-06,P006,16
57,2025-12-31,2026-01-06,P007,13
58,2025-12-31,2026-01-06,P008,30
59,2025-12-31,2026-01-06,P009,7
60,2025-12-31,2026-01-06,P010,9
61,2025-12-31,2026-01-07,P001,90
62,2025-12-31,2026-01-07,P002,22
63,2025-12-31,2026-01-07,P003,71
64,2025-12-31,2026-01-07,P004,50
65,2025-12-31,2026-01-07,P005,5
66,2025-12-31,2026-01-07,P006,16
67,2025-12-31,2026-01-07,P007,13
68,2025-12-31,2026-01-07,P008,30
69,2025-12-31,2026-01-07,P009,7
70,2025-12-31,2026-01-07,P010,9
